yearID,teamID,team_name,wins,losses,running_average_wins,avg_weight,avg_height,roster_size,avg_games_played,median_games_played
2010,TBA,"Tampa Bay Rays",96,66,92,210.97,74.24,37,64,57
2010,TEX,"Texas Rangers",90,72,85,215.94,74.15,48,48,32
2010,TOR,"Toronto Blue Jays",85,77,82,211.30,73.34,44,50,32
2010,WAS,"Washington Nationals",69,93,62,216.65,73.72,46,52,28
2009,ARI,"Arizona Diamondbacks",70,92,81,212.22,74.00,45,51,36
2009,ATL,"Atlanta Braves",86,76,81,207.93,73.80,45,52,36
2009,BAL,"Baltimore Orioles",64,98,67,209.48,73.83,48,48,29
2009,BOS,"Boston Red Sox",95,67,95,209.73,73.85,52,45,27
2009,CHA,"Chicago White Sox",79,83,80,221.07,74.40,45,50,33
2009,CHN,"Chicago Cubs",83,78,88,205.62,73.29,45,52,35
2009,CIN,"Cincinnati Reds",78,84,75,214.54,73.87,46,50,41
2009,CLE,"Cleveland Indians",65,97,81,210.56,73.56,52,42,23
2009,COL,"Colorado Rockies",92,70,85,208.02,73.64,45,52,32
2009,DET,"Detroit Tigers",86,77,83,210.13,73.64,45,52,32
2009,FLO,"Florida Marlins",87,75,81,211.70,74.23,44,54,31
2009,HOU,"Houston Astros",74,88,78,207.26,73.00,42,56,39
2009,KCA,"Kansas City Royals",65,97,70,210.16,73.23,43,52,41
2009,LAA,"Los Angeles Angels of Anaheim",97,65,97,210.24,73.59,46,49,27
2009,LAN,"Los Angeles Dodgers",95,67,87,213.51,73.55,47,50,30
2009,MIL,"Milwaukee Brewers",80,82,84,211.04,73.76,45,52,35
2009,MIN,"Minnesota Twins",87,76,85,212.98,73.95,42,55,35
2009,NYA,"New York Yankees",103,59,95,214.64,73.73,45,53,33
2009,NYN,"New York Mets",70,92,82,203.64,72.96,53,45,29
2009,OAK,"Oakland Athletics",75,87,75,212.75,73.53,51,45,30
2009,PHI,"Philadelphia Phillies",93,69,91,208.44,73.61,41,56,37
2009,PIT,"Pittsburgh Pirates",62,99,66,209.92,73.49,49,45,38
2009,SDN,"San Diego Padres",75,87,76,205.02,73.54,56,42,28
2009,SEA,"Seattle Mariners",85,77,78,211.17,73.54,46,47,34
2009,SFN,"San Francisco Giants",88,74,77,207.11,73.59,44,52,34
2009,SLN,"St. Louis Cardinals",91,71,85,210.43,73.74,42,56,40
2009,TBA,"Tampa Bay Rays",84,78,82,204.37,73.93,41,57,34
2009,TEX,"Texas Rangers",87,75,80,218.52,73.89,44,49,30
2009,TOR,"Toronto Blue Jays",75,87,81,210.00,73.55,44,50,32
2009,WAS,"Washington Nationals",59,103,64,212.55,73.91,55,44,29
2008,ARI,"Arizona Diamondbacks",82,80,83,212.66,74.10,41,56,38
2008,ATL,"Atlanta Braves",72,90,78,208.41,73.49,49,49,36
2008,BAL,"Baltimore Orioles",68,93,69,207.93,73.76,46,51,31
2008,BOS,"Boston Red Sox",95,67,92,208.49,73.74,47,49,33
2008,CHA,"Chicago White Sox",89,74,84,219.74,74.21,39,59,34
2008,CHN,"Chicago Cubs",97,64,83,208.19,73.64,42,56,34
2008,CIN,"Cincinnati Reds",74,88,75,210.71,73.58,48,50,34
